tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
511145	Escherichia coli str. K-12 substr. MG1655	946775	0	live	ackA	b2296, ECK2290, JW2293	acetate kinase A and propionate kinase 2				NC_000913.3	2413470	2414672	plus	0		
272634	Mycoplasma pneumoniae M129	877249	0	live	ackA	MPN533, G12_orf390	acetate kinase				NC_000912.1	654981	656153	minus	0		
233413	Mycobacterium bovis AF2122/97	1091412	0	live	ackA	BQ2027_MB0417	PROBABLE ACETATE KINASE ACKA (ACETOKINASE)			Mycobacterium_bovis_AF2122/97	NC_002945.4	494870	496027	plus	0		
749927	Amycolatopsis mediterranei U32	9440726	0	live	ackA	AMED_6574	acetate kinase				NC_014318.1	7258816	7259901	minus	0		
211586	Shewanella oneidensis MR-1	1170604	0	live	ackA	SO_2915	acetate kinase AckA				NC_004347.2	3045853	3047052	plus	0		
243090	Rhodopirellula baltica SH 1	1796441	0	live	ackA	RB9655	acetate kinase				NC_005027.1	5200863	5202038	plus	0		
206672	Bifidobacterium longum NCC2705	1022473	0	live	ackA	BL0969	ackA	ackA|acetate kinase			NC_004307.2	780955	782184	plus	0		
388919	Streptococcus sanguinis SK36	4807938	0	live	ackA	SSA_0192	acetate kinase				NC_009009.1	193049	194242	plus	0		
210007	Streptococcus mutans UA159	1029183	0	live	ackA	SMU_1978, SMU.1978	acetate kinase				NC_004350.2	1850234	1851433	minus	0		
160490	Streptococcus pyogenes M1 GAS	900449	0	live	ackA	SPy_0109, SPy0109	acetate kinase				NC_002737.2	106220	107416	plus	0		
243090	Rhodopirellula baltica SH 1	1792617	0	live	ackA	RB2582	acetate kinase				NC_005027.1	1344446	1345681	minus	0		
99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1253859	0	live	ackA	STM2337	acetate kinase				NC_003197.2	2447927	2449140	plus	0		
71421	Haemophilus influenzae Rd KW20	949638	0	live	ackA	HI1204	acetate kinase				NC_000907.1	1270934	1272139	minus	0		
224308	Bacillus subtilis subsp. subtilis str. 168	937347	0	live	ackA	BSU29470	acetate kinase				NC_000964.3	3015111	3016298	minus	0		
85962	Helicobacter pylori 26695	899691	0	live	ackA	HP0903m	acetate kinase				NC_000915.1	953461	954661	minus	0		
169963	Listeria monocytogenes EGD-e	986937	0	live	ackA	lmo1581	acetate kinase				NC_003210.1	1623099	1624292	minus	0		
214092	Yersinia pestis CO92	1175397	0	live	ackA	YPO2566	acetate kinase				NC_003143.1	2879734	2880936	plus	0		
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	905008	0	live	ackA	Cj0689	acetate kinase				NC_002163.1	643409	644599	plus	0		
246196	Mycobacterium smegmatis str. MC2 155	4531693	0	live	ackA	MSMEG_0784	acetate kinase				NC_008596.1	869653	870783	plus	0		
394	Sinorhizobium fredii NGR234	7787912	0	live	ackA	NGR_b13640	acetate kinase				NC_012586.1	1362119	1363303	plus	0		
312309	Vibrio fischeri ES114	3278383	0	live	ackA	VF_0837, VF0837	acetate kinase			I	NC_006840.2	923664	924860	minus	0		
272632	Mycoplasma mycoides subsp. mycoides SC str. PG1	2745008	0	live	ackA	MSC_0270	acetate kinase				NC_005364.2	309526	310707	plus	0		
171101	Streptococcus pneumoniae R6	933975	0	live	ackA	spr1854	acetate kinase				NC_003098.1	1828803	1829993	minus	0		
568814	Streptococcus suis BM407	8155055	0	live	ackA	SSUBM407_0131	acetate kinase				NC_012926.1	124591	125778	plus	0		
208435	Streptococcus agalactiae 2603V/R	1012942	0	live	ackA	SAG0168	acetate kinase				NC_004116.1	191112	192305	plus	0		
441771	Clostridium botulinum A str. Hall	5400371	0	live	ackA	CLC_2308	acetate kinase				NC_009698.1	2435550	2436743	minus	0		
413999	Clostridium botulinum A str. ATCC 3502	5186713	0	live	ackA	CBO2458	acetate kinase				NC_009495.1	2591182	2592375	minus	0		
300267	Shigella dysenteriae Sd197	3799538	0	live	ackA	SDY_2492	acetate kinase				NC_007606.1	2293220	2294422	plus	0		
882	Desulfovibrio vulgaris str. Hildenborough	2796447	0	live	ackA	DVU3030	acetate kinase				NC_002937.3	3154356	3155564	plus	0		
257313	Bordetella pertussis Tohama I	2664543	0	live	ackA	BP1003, ack	acetate kinase				NC_002929.2	1048777	1049967	minus	0		
585057	Escherichia coli IAI39	7153827	0	live	ackA	ECIAI39_2443	acetate kinase				NC_011750.1	2530755	2531957	plus	0		
281309	[Bacillus thuringiensis] serovar konkukian str. 97-27	2856499	0	live	ackA	BT9727_4371	acetate kinase				NC_005957.1	4433992	4435185	minus	0		
3068	Volvox carteri f. nagariensis	9624937	0	live	ackA	VOLCADRAFT_103948	acetate kinase			Unknown							
208964	Pseudomonas aeruginosa PAO1	877790	0	live	ackA	PA0836	acetate kinase				NC_002516.2	911595	912779	minus	0		
83332	Mycobacterium tuberculosis H37Rv	886399	0	live	ackA	Rv0409	acetate kinase				NC_000962.3	493851	495008	plus	0		
226185	Enterococcus faecalis V583	1200858	0	live	ackA	EF1983	acetate kinase				NC_004668.1	1919170	1920357	minus	0		
272621	Lactobacillus acidophilus NCFM	3252580	0	live	ackA	LBA0463	acetate kinase				NC_006814.3	450854	452064	plus	0		
272621	Lactobacillus acidophilus NCFM	3251787	0	live	ackA	LBA1873	acetate kinase				NC_006814.3	1885232	1886421	minus	0		
